Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-08-19 16:17:16,Disagree,"Most reviews use strong language like ""love"" or ""hate"" making it easier to choose","look for strong language and opinions, as well as seeing if the reviewer outright states what they thought",word choice,Nothing,Somewhat disagree,"strong word choice makes it easy, only one review was really difficult to choose as it was wordy and vague","look for strong words or phrases like ""avoid like the plague""","Highly divisive language like ""hate""","Because while it was ok, others were stronger and clearer",Nothing,"Strongest immediately was chosen, which was words that were either praising, complaining about something, or outright stating the opinion of the writer",Somewhat agree,"With the words I selected being strong or highly divisive, seeing a review that says they hated the movie would show another negative review",highlighting was a little clunky,18 - 24,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,85435,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,1
2021-08-19 17:03:36,Somewhat disagree,"Most of the reviews contained words or phrases with negative or positive connotations in the first few sentences, which would give away if the review was negative or positive.","I would skim through the first few sentences, and the last few sentences. Typically, writers sum up their final impressions in the last sentence of a review, so I would determine if the review was positive or negative.",The beginning sentence and the end sentence.,Nothing,Somewhat agree,"Some phrases were negative, but the instructions stated that if the phrase would not be negative in a different review, then it should not have been included. Some of the negative phrases were specifically about a certain actor or director's performance and specific to them.","I would read through the the paragraph, and highlight words that were negative or positive only in the context of this review.",If it made me want to watch the movie or not.,"For some of the reviews, the words were very specific for the movie. I chose not to select those as they may not be considered negative in another movie.",Nothing.,I typically just went through the paragraph and highlighted words as I saw them.,Strongly agree,These were the instructions,None.,18 - 24,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,no,20878,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-19 17:13:37,Agree,"Most of the reviews were pretty straight forward and easily seen but there was one that was a bit more difficult because it was very long, and was more of a review of the content and didnt use any buzzwords making it seem positive or negative and required a deeper looking into this persons review","looked too see if they recomended it at the end or if they used any buzzwords ie: hated, awful, boring, amazing good story. ect.",all of it but a slight focus on the start and end of the review as this can give an indication of where the review is going,nothing really as figure out if it is positive or negative is all based on who is writting the review most of them were very easy to find out ,Disagree,most of the time its pretty easy to figure out if someone likes or dislikes something in a review sofinding out what words they used was easyfor the most part,"looking for bits giving crituqe to the story, characters or movie as a whole. or if they would recomend it or not",Generally they used alot of adjectives saying this actor is boring or the story was amazing. that sort of thing.,"For the most part this was not difficult, but if i didnt choose to use a word or phrase it was because i was already at 20% of the selectoin or nearing.","nothing, instructions were very clear.",I would generaly first highlight things that stuck out in the review on inital reading then go over it again top down.,Neither agree nor disagree,because sometimes they might use words that others may not use as commonly thus not giving you all the information.,i think its good as is.,25 - 34,Man,,,,,,,,,Prefer not to say,,"Some college credit, no degree",,No,No,Yes,assuming your going to be integrating ai to do something with categorizing reviews or something of the like. I hope the end user will be able too see both positives and negatives reviews of the product as i find it very important because if its crap it means the maker has to try harder next time if negatives are just removed then they could just put out crap. kind of a random tangent i know lol.,65214,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,4
2021-08-19 18:32:21,Somewhat agree,"For the most part, it was easy as I could tell by the language. But for some of the reviews, particularly the really long one which seemed more factual, it was hard to determine - I suppose when the language isn't as emotive.",When reading it initially I tended to know. If I was unsure I read it again. When determining if positive or negative I was looking out for the type of emotive and descriptive words used.,"Thoughts and feelings, adjectives, emotions rather than fact.",N/A - it was extremely clear!,Somewhat agree,"I found it quite easy but quite hard at the same time. For some words it is obvious, but for some I hesitated when selecting them as sometimes a positive word can still be used in a negative way!","Any words that were immediately obvious as a bad/good word it was easy to select. Whereby a word can easily be used in both contexts, I didn't select it. Some things I selected are only bad if you select the whole phrase rather than just some words so I tended to do that if the word on it's own doesn't reflect the negativity.","As before; emotions, feelings and opinions, as well as adjectives made the words more important","I can't remember the specific text but there were definitely some that I highlighted and then un-highlighted. Th reason for this is because I realise the word could also be use in the opposite context too, so highlighting it just one way doesn't really work.",n/a - it was all really clear,"I started from top to bottom and worked through the text slowly and chronologically, marking them as I went.",Agree,"Because some words could be portrayed in the opposite way in another review whereas say for example, the word 'disgusted' is always going to be a particularly negative word. But there are some words which may be negative in one context, but positive in another.","When I was going on the page after highlighting the text and I had to answer two questions, the screen automatically dropped down to the second question rather than the first, so I had to scroll up to the first.",25 - 34,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,41795,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,6
2021-08-20 08:39:51,Somewhat disagree,Some very easy - however one in particular was very much using specialist film language I didn't really understand so hard to determine.,Emotive language,The conclusion mainly,N.A,Disagree,Easy to find the emotive words/phrases that gave opinion,Opinion - strong language either way,Emotive,Can't remember anything specifically.a,Above question - should have been asked to think of this as going through. I definitely did do this but can't think of any specific examples as I wasn't taking note at the time.,"emotive language, opinions",Neither agree nor disagree,I didn't have this train of thought when doing it. I only took them in the context they were displayed.,N/A,25 - 34,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,14506,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,1
2021-08-20 08:53:22,Disagree,All the reviews bar one were pretty explicit about whether the author liked the film or not.,No process really. It was pretty straightforward.,The writer's descriptive words and phrases. Many of the reviews also urged people either to watch the move or not watch it.,"I wasn't sure whether you wanted me to pick out every single word or phrase that was positive or negative, or just the most obvious. I was also a bit unsure about some of the words and phrases that were specific to aspects of the movie, rather than about the movie in general.",Neither agree nor disagree,"It was fairly easy to find positive or negative words and phrases, but the difficulty was deciding whether they were worth including or not.",I just scanned the review for descriptive words and phrases,"I tried to choose ones that could potentially describe any movie, and that applied to the movie as a whole","Difficult to answer this question without the reviews in front of me. I was on the fence about some of the phrases which were very specific, for example about one particular actor rather than the cast as a whole.","Perhaps give a maximum number of words and phrases to select. Be more explicit about whether to select them all or only some. Explain whether to include negative comments about specific aspects of the film (individual actors, stunts, music etc) or just focus on comments about the movie as a whole.","Mostly top to bottom, but occasionally I selected one in the middle that jumped out as I read it.",Agree,"I tried to do this, but I'm not sure how successful I was. I could have done with a bit more explanation of this. Some examples to guide me would have been useful. Also examples of what not to include.","The text was absolutely massive and difficult to read. On the page where I had to assess how confident I was, the screen always jumped to the bottom of the page so I couldn't see the first question.",35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,14359,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-20 09:00:22,Disagree,"Mostly it was not difficult to decide if it was positive or negative. Depends on words, writing and mood. ",depends on the language choice used ,strong emotion words like Love and Hate ,everything was clear ,Neither agree nor disagree,"I think this was subjective, some were very obvious and some were not very ","again, words which had strong emotion and common sense words within the review ",emotion and descriptive vocabulary ,"it could go either way, I did not select a few because it was a bit vague and not obvious like the others ",everything was clear for me,adjectives and emotional vocabulary as well as recommending the movie or not were quite obviously selected ,Neither agree nor disagree,"sometimes no that was not the case, someone can say the movie was incredible or INCREDIBLY bad - same word but context is different ","no, it went well thanks ",25 - 34,Woman,,Asian,,,,,,,,,Bachelor's degree,,No,I don’t know,Yes,,39246,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,5
2021-08-20 09:08:09,Strongly disagree,the vocab gave it away,key words in the first and last sentences,start and end,nothing,Somewhat disagree,picked obvious ones,scim and scanned for strong vocab,strength of the word,i felt there were more important words,nothing,from start to finish,Disagree,i focused on the current reviews only,nothing,35 - 44,Man,,,,,,,White or Caucasian,,,,Master's degree,,Yes,No,Yes,,65815,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,Highlighting words with arrow keys.,Tapping the words if your computer is touchscreen.,3
2021-08-20 09:08:22,Strongly agree,some were neutral and making points for either ,using words like 'the worst' gave it away,normally the opening line ,maybe a clip of the movie,Strongly agree,because the written word doesn't have tone,start with negative and work from there and vice versa,a direct insult or praise ,"i chose not to select some connecting words, I felt they weren't needed",if connecting words needed to be in,i started the top and read down missing words that didn't feel needed,Agree,followed the pattern of praise or insults,none,25 - 34,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,45631,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,4
2021-08-20 09:14:19,Disagree,Its obvious when someone dislikes a movie due to language used,Reading the reviews showed the language being used. ,Phrases where the writer was saying they liked it or hated it,Nothing,Somewhat agree,Some of the reviews were impartial and did not provide positive or negative comments so it was not possible to pick out the words effectively,Look for words that mean the writer didn't like or loved it and highlight them,If they related to the movie,This did not happen,Nothing,From top to bottom,Neither agree nor disagree,It didn't cross my mind to do so,None,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,86639,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,6
