Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.","Please respond to the following statement:
 Selecting the words I considered important was difficult.",Why?,Please briefly describe your process for selecting the words you considered important.,What characteristics of a word or phrase made you select a particular word as important?,"Think about a case where you considered selecting a particular word as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words as important.","What, if anything, could have been more clear about the instructions you were given for selecting words as important?",Please briefly describe the order in which you selected the words you considered important.,"Please respond to the following statement:When selecting words that I considered important, I selected only words that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Start Date,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-09-07 16:55:40,Strongly disagree,"It's just really easy to tell, just from what they say and the tone. ","Scanned for positive or negative words, skimmed the text, and then examined the opening and closing sentences for clues. ",The opening and the end of the review.,NA (everything was clear),NA,,,,,,,,,,,,,,,,,,,,,18 - 24,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,56440,2021-09-07 16:50:31,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 16:56:06,Somewhat disagree,The reviews either had positive or negative keywords that signified whether it was positive or negative,Scanned the text for negative/positive words,The start and the end,An option for a neutral review,???,,,,,,,,,,,,,,,,,,,,,25 - 34,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,Yes,Yes,Yes,,41519,2021-09-07 16:51:17,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:02:40,Disagree,There is usually a clear summary statement and the rest of the review supports that statement.,Look for the main theme. Check that the other sentences support it.,Usually the beginning or the end make a clear statement to the reader.,"Nothing, it's a binary choice that cannot be any simpler.",The font size and style could be more consistent.,,,,,,,,,,,,,,,,,,,,,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,Yes,Yes,n,25650,2021-09-07 16:50:29,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:03:23,Somewhat agree,some sad they couldnt decide if it was good or not,certain words and overall tone of summary,certain words,no,no,Disagree,was not that difficult,important key words stood out,adjectives,specific things about actors or plot line,no,top to bottom,Disagree,words can be used in different ways,no,,,,,,,,,,,25 - 34,Woman,,Asian,,,,,,,,,Master's degree,,No,No,No,,52331,2021-09-07 16:50:39,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:04:21,Strongly disagree,"All you have to do is read it and if they talk highly of the movie, mark positive, and if they speak bad things about it, mark negative. There was a couple of confusing ones but it didnt make it much harder.",I made sure I read the reviews thoroughly of what the reviewer was talking about before determining positive or negative.,"All the parts, I didn't leave anything out of consideration. ","The instructions were simple enough, they can't get much easier. ",Maybe the option to make the font smaller or larger could have improved it.,,,,,,,,,,,,,,,,,,,,,45 - 54,Woman,,,Black or African American,,,,,,,,Bachelor's degree,,No,Yes,Yes,,11274,2021-09-07 16:50:51,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:05:05,Disagree,Descriptions were very clear,Descriptions were clear and informative,The critics observations.,Nothing,I found it straight forward and very interesting,,,,,,,,,,,,,,,,,,,,,65+,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,This was a well presented and interesting survey.,86428,2021-09-07 16:50:44,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:06:13,Disagree,The opinions in most of the reviews were clear and unambiguous.,"There were usually clear statements summarizing the writers' opinions (i.e. ""this was a terrible movie, or ""I loved this movie"").","If there was more criticism than praise, I considered the review to be negative.","The instructions were perfectly understandable, and no improvement is necessary.",n/a,,,,,,,,,,,,,,,,,,,,,25 - 34,Man,,,Black or African American,,,,,,,,Bachelor's degree,,No,No,Yes,,97058,2021-09-07 16:50:37,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:07:09,Strongly disagree,"The language used, connotations and often outright stating a movie was good or bad was a common theme.","All of the above- the language used, connotations and outright statements. Length and depth of analysis and review also factored in- negative reviews often lack depth.","Again, as above- I looked for outright statements one way or the other or for a series of negative/positive statements, commonly the start or the last sentence/paragraph.",Without knowing the intended use of my answer I can't really answer that question.,I didn't encounter any problems or errors.,,,,,,,,,,,,,,,,,,,,,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,I'm definitely a film nerd so spotting negative/positive reviews felt like second nature to me.,83317,2021-09-07 16:50:49,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:07:55,Disagree,Most were pretty obvious from the first line,Looking for key adjectives,Looking for keywords,Nothing it was very clear,The text for the reviews was slightly too large,,,,,,,,,,,,,,,,,,,,,25 - 34,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,11453,2021-09-07 17:00:20,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:08:24,Strongly disagree,The language used in the reviews was very easy to understand. ,"As I read each review, I looked for the emotions mentioned. Each review a couple of them were slightly more objective than subjective which made it more difficult to determine. But not by much. ",The emotions expressed. ,Nothing. ,They were very simple to navigate. Great survey!,,,,,,,,,,,,,,,,,,,,,35 - 44,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,50785,2021-09-07 16:52:29,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
